"GEO_ID","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Geographic Area Name"
"0400000US40","1606769","12017","76864","3913","229393","6410","263940","7367","277396","8664","247765","7301","97149","4118","198162","6726","31743","2738","36768","3346","73200","3837","46957","3105","27432","2458","Oklahoma"
"0400000US41","1567660","14195","73695","5283","193324","7535","262752","11426","264947","8779","224417","7979","95985","6087","186822","7442","36794","3490","48363","4150","93753","5010","58443","4666","28365","2910","Oregon"
"0400000US42","5507797","23243","198679","7486","574064","11358","776198","14519","836967","15774","808004","13090","330461","8320","685293","11583","162912","6702","224566","7353","449122","10261","310048","7897","151483","5944","Pennsylvania"
"0400000US44","482514","7313","18180","2550","50263","3824","79610","4536","81620","4360","75395","4424","32787","3017","58616","4021","12830","1592","15572","2537","29139","2916","17792","2128","10710","1503","Rhode Island"
"0400000US45","1883929","18245","58602","4658","183982","8214","290540","10020","322570","11295","310622","10601","118271","7490","259112","9709","53742","4611","60973","6140","126692","6675","65902","4496","32921","2718","South Carolina"
"0400000US46","387330","5832","38364","2590","77144","3901","82503","4311","68421","3240","47025","3070","17531","2527","22679","2059","4495","954","4327","714","10905","1539","8476","1467","5460","1008","South Dakota"
"0400000US47","2648625","19175","72367","5304","258383","10189","382116","10498","434219","12940","429368","11444","185443","8817","377643","11410","73794","4824","90306","5817","194867","9155","102354","5833","47765","4092","Tennessee"
"0400000US48","10861523","47226","337397","10539","1109199","21988","1539975","18425","1724850","27926","1649180","26583","625308","14951","1645520","25463","283188","10448","376315","13441","814099","18969","542512","15036","213980","8980","Texas"
"0400000US49","1188517","10999","50735","3736","154258","6672","198255","7573","218287","7549","186137","7419","69987","4785","141749","6537","23988","2846","30536","3631","59843","4642","36445","3234","18297","2079","Utah"
"0400000US50","297743","4833","20393","2059","43720","3086","46149","2854","44383","2892","40307","2444","19500","1770","31361","2444","8191","1055","9095","1263","20244","1863","9312","1176","5088","924","Vermont"
"0400000US51","3706328","20688","92781","6098","285882","8480","480796","10544","582283","12390","539061","13109","229572","9836","528842","13177","116476","5528","142322","7467","336226","10959","263384","9094","108703","6204","Virginia"
"0400000US53","2927279","16752","91223","5633","294783","9024","404400","12246","464551","11464","429987","12758","184324","5991","407605","9788","83612","4588","118720","5405","222395","8135","153528","5857","72151","4887","Washington"
"0400000US54","707431","8782","30969","2729","85039","4204","105414","5367","116588","4869","98780","4713","36331","3244","76243","4446","17101","2273","22406","2064","52686","3574","38991","2587","26883","2974","West Virginia"
"0400000US55","2651803","13630","122609","6047","353968","9650","457663","8802","428760","8333","394385","8732","176410","6424","289915","7860","72100","3517","77297","4387","150334","5679","85340","4469","43022","2391","Wisconsin"
"0400000US56","274214","4999","24413","2567","63890","4135","65905","4202","44929","3537","22642","2245","5564","1028","15317","2210","1939","585","4952","1184","8434","1540","9155","1625","7074","1556","Wyoming"
"0400000US72","1033736","10901","23124","2650","75541","4685","115201","5255","161330","6472","131743","6082","44998","3771","179838","5666","23958","2541","47490","3531","86483","4958","99274","5110","44756","4021","Puerto Rico"
