"GEO_ID","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Geographic Area Name"
"0400000US12","7503144","30563","162168","7347","614492","12085","1014213","17855","1185897","22560","1223902","21823","498924","12413","1209574","21852","236393","10468","276595","10451","594732","13397","344334","12014","141920","8124","Florida"
"0400000US13","3919135","22428","100172","6566","318675","10039","511515","13518","626222","14421","582943","11958","234873","8546","557962","15791","119593","5828","146216","5566","362891","9594","258797","12532","99276","5305","Georgia"
"0400000US15","623637","8382","14948","2088","61691","6000","84012","5785","88062","4637","89805","6099","29084","2744","121148","5036","14374","1800","21646","2583","53674","3771","34791","3232","10402","1851","Hawaii"
"0400000US16","629635","9312","39981","3611","101310","5286","119399","5334","102945","4819","79962","5007","31927","2632","70361","4365","9480","1642","14211","1443","29221","2795","19322","2101","11516","1654","Idaho"
"0400000US17","5543452","22025","163202","6260","547295","11778","715664","12604","739579","14223","720792","15579","305610","8166","783112","13104","163480","6566","259704","9606","545956","11864","445194","9275","153864","6867","Illinois"
"0400000US18","2751580","18216","105422","5335","333253","7690","431546","10715","445659","9736","418286","10569","185133","6389","331163","9285","69784","3710","91401","5119","180295","6687","110377","5181","49261","3863","Indiana"
"0400000US19","1440541","9759","99995","4401","252471","7290","276408","8511","241009","6838","199701","5758","80776","4588","124094","4455","28618","2234","28694","2474","53997","3474","32289","2822","22489","2124","Iowa"
"0400000US20","1299028","9549","84701","4035","212815","7016","241969","8160","227957","7018","195964","6892","74228","4650","124356","5469","21832","2257","26885","2142","46616","3544","23733","2197","17972","2089","Kansas"
"0400000US21","1737455","15578","67761","3668","200658","7695","278874","9104","303758","9277","281553","8360","111579","5246","215481","8760","42311","3111","47205","3552","99463","4944","56587","4092","32225","3103","Kentucky"
"0400000US22","1890069","14648","63303","3425","206840","8046","309225","9200","322603","10878","289894","7238","98802","5807","240774","7665","37778","3079","47272","3559","125575","5939","93109","5489","54894","3912","Louisiana"
"0400000US23","595242","6121","32193","2631","80564","4844","94323","4492","87360","4523","85958","4342","34315","2738","68199","4665","14979","1735","21171","2205","36574","2627","26323","2573","13283","1659","Maine"
"0400000US24","2725311","17461","48534","3910","180472","6961","267030","8370","332456","9651","364211","9643","168999","6530","406029","11294","99361","4816","143671","6105","319218","9090","283604","8783","111726","5183","Maryland"
