state,yr,qtr,index_nsa,index_sa,Warning
AK,2016,3,249.34,247.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2016,4,247.66,247.73,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,1,247.90,249.75,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,2,251.70,247.45,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,3,255.07,253.03,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,4,250.70,251.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,1,253.33,254.86,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,2,258.53,254.23,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,3,256.23,254.28,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,4,254.75,255.06,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,1,258.83,260.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,2,269.06,264.68,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,3,267.32,265.42,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,4,265.11,265.13,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,1,265.21,266.79,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,2,277.38,273.06,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,3,278.43,276.58,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,4,287.01,286.52,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,1,290.23,292.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,2,300.10,295.59,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,3,315.67,313.72,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,4,319.92,318.87,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AL,1991,1,100.00,100.00,
AL,1991,2,101.52,101.18,
AL,1991,3,102.51,101.90,
AL,1991,4,103.31,102.77,
AL,1992,1,104.20,104.20,
AL,1992,2,104.50,104.14,
AL,1992,3,106.66,106.01,
AL,1992,4,108.21,107.68,
AL,1993,1,108.79,108.79,
AL,1993,2,109.85,109.43,
AL,1993,3,111.89,111.20,
AL,1993,4,113.05,112.58,
AL,1994,1,113.98,113.95,
AL,1994,2,116.08,115.62,
AL,1994,3,117.20,116.44,
AL,1994,4,117.76,117.38,
AL,1995,1,118.38,118.29,
AL,1995,2,119.74,119.19,
AL,1995,3,121.44,120.68,
AL,1995,4,121.72,121.43,
AL,1996,1,122.67,122.52,
AL,1996,2,124.99,124.37,
AL,1996,3,125.59,124.83,
AL,1996,4,126.37,126.16,
AL,1997,1,127.67,127.44,
AL,1997,2,128.16,127.46,
AL,1997,3,129.60,128.90,
AL,1997,4,129.49,129.32,
AL,1998,1,130.92,130.61,
AL,1998,2,132.57,131.81,
AL,1998,3,133.99,133.31,
AL,1998,4,135.31,135.15,
AL,1999,1,136.37,136.02,
AL,1999,2,138.09,137.25,
AL,1999,3,138.64,137.99,
AL,1999,4,139.53,139.36,
AL,2000,1,141.08,140.74,
AL,2000,2,142.33,141.46,
AL,2000,3,142.66,141.96,
AL,2000,4,142.75,142.56,
AL,2001,1,144.20,143.94,
AL,2001,2,146.02,145.12,
AL,2001,3,146.81,146.00,
AL,2001,4,147.27,147.07,
AL,2002,1,148.34,148.16,
AL,2002,2,150.22,149.33,
AL,2002,3,151.22,150.23,
AL,2002,4,153.20,153.01,
AL,2003,1,154.08,154.00,
AL,2003,2,156.27,155.35,
AL,2003,3,159.43,158.25,
AL,2003,4,159.00,158.83,
AL,2004,1,160.00,160.04,
AL,2004,2,163.70,162.69,
AL,2004,3,167.36,166.02,
AL,2004,4,168.42,168.30,
AL,2005,1,171.21,171.39,
AL,2005,2,175.25,174.05,
AL,2005,3,179.23,177.69,
AL,2005,4,182.68,182.67,
AL,2006,1,186.90,187.21,
AL,2006,2,192.03,190.55,
AL,2006,3,195.02,193.24,
AL,2006,4,195.82,195.93,
AL,2007,1,197.80,198.32,
AL,2007,2,202.29,200.61,
AL,2007,3,202.15,200.08,
AL,2007,4,200.10,200.34,
AL,2008,1,198.03,198.79,
AL,2008,2,198.37,196.66,
AL,2008,3,195.86,193.53,
AL,2008,4,190.64,190.99,
AL,2009,1,190.57,191.58,
AL,2009,2,192.55,190.82,
AL,2009,3,188.23,185.65,
AL,2009,4,191.80,192.31,
AL,2010,1,183.26,184.48,
AL,2010,2,182.71,180.95,
AL,2010,3,182.28,179.58,
AL,2010,4,174.90,175.51,
AL,2011,1,170.31,171.56,
AL,2011,2,172.16,170.39,
AL,2011,3,174.37,171.73,
AL,2011,4,170.68,171.37,
AL,2012,1,172.22,173.54,
AL,2012,2,178.26,176.26,
AL,2012,3,175.73,173.14,
AL,2012,4,175.92,176.71,
AL,2013,1,176.38,177.67,
AL,2013,2,181.79,179.61,
AL,2013,3,183.08,180.58,
AL,2013,4,180.46,181.29,
AL,2014,1,181.66,182.87,
AL,2014,2,184.67,182.36,
AL,2014,3,186.02,183.72,
AL,2014,4,185.44,186.26,
AL,2015,1,185.07,186.12,
AL,2015,2,191.91,189.55,
AL,2015,3,192.72,190.52,
AL,2015,4,190.12,190.90,
AL,2016,1,191.97,192.87,
AL,2016,2,197.28,194.96,
AL,2016,3,199.63,197.45,
AL,2016,4,198.85,199.68,
AL,2017,1,200.33,200.98,
AL,2017,2,205.43,203.23,
AL,2017,3,207.67,205.47,
AL,2017,4,208.70,209.57,
AL,2018,1,211.00,211.38,
AL,2018,2,217.07,214.97,
AL,2018,3,219.93,217.66,
AL,2018,4,218.36,219.27,
AL,2019,1,223.77,223.87,
AL,2019,2,228.57,226.65,
AL,2019,3,232.16,229.77,
AL,2019,4,233.16,234.10,
AL,2020,1,239.75,239.64,
AL,2020,2,244.05,242.23,
AL,2020,3,252.28,249.68,
AL,2020,4,259.25,260.25,
AL,2021,1,266.15,265.86,
AL,2021,2,283.15,281.26,
AL,2021,3,297.09,294.01,
AL,2021,4,304.86,305.98,
AR,1991,1,100.00,100.00,
AR,1991,2,100.24,100.03,
AR,1991,3,101.50,101.19,
AR,1991,4,102.96,102.82,
AR,1992,1,102.79,102.82,
AR,1992,2,103.94,103.69,
AR,1992,3,105.07,104.77,
AR,1992,4,105.59,105.44,
AR,1993,1,107.34,107.43,
AR,1993,2,109.52,109.17,
AR,1993,3,111.47,111.18,
AR,1993,4,111.57,111.43,
AR,1994,1,115.05,115.16,
AR,1994,2,116.54,116.10,
AR,1994,3,117.10,116.84,
AR,1994,4,119.12,118.98,
AR,1995,1,118.99,119.09,
AR,1995,2,121.47,120.97,
AR,1995,3,122.81,122.59,
AR,1995,4,123.44,123.30,
AR,1996,1,123.98,124.04,
AR,1996,2,125.78,125.30,
AR,1996,3,125.31,125.08,
AR,1996,4,125.81,125.64,
AR,1997,1,127.31,127.37,
AR,1997,2,128.03,127.59,
AR,1997,3,128.26,127.98,
AR,1997,4,129.39,129.24,
AR,1998,1,129.10,129.12,
AR,1998,2,129.76,129.38,
AR,1998,3,132.14,131.79,
AR,1998,4,132.50,132.37,
AR,1999,1,133.87,133.90,
AR,1999,2,135.13,134.75,
AR,1999,3,136.07,135.64,
AR,1999,4,136.65,136.55,
AR,2000,1,136.91,136.98,
AR,2000,2,139.67,139.29,
AR,2000,3,139.96,139.44,
AR,2000,4,140.87,140.79,
AR,2001,1,142.57,142.72,
AR,2001,2,143.68,143.23,
AR,2001,3,145.45,144.86,
AR,2001,4,145.92,145.88,
AR,2002,1,146.82,146.99,
AR,2002,2,149.79,149.33,
AR,2002,3,151.10,150.45,
AR,2002,4,152.47,152.41,
AR,2003,1,154.08,154.32,
AR,2003,2,156.79,156.32,
AR,2003,3,160.02,159.28,
AR,2003,4,160.98,160.86,
AR,2004,1,164.07,164.42,
AR,2004,2,167.56,167.07,
AR,2004,3,170.27,169.42,
AR,2004,4,172.66,172.44,
AR,2005,1,174.82,175.38,
AR,2005,2,178.16,177.61,
AR,2005,3,182.19,181.21,
AR,2005,4,185.00,184.73,
AR,2006,1,186.50,187.23,
AR,2006,2,190.03,189.41,
AR,2006,3,191.76,190.64,
AR,2006,4,192.46,192.22,
AR,2007,1,191.84,192.68,
AR,2007,2,195.28,194.47,
AR,2007,3,195.45,194.35,
AR,2007,4,193.50,193.47,
AR,2008,1,189.35,189.98,
AR,2008,2,189.25,188.36,
AR,2008,3,189.07,188.15,
AR,2008,4,184.90,185.09,
AR,2009,1,183.92,184.30,
AR,2009,2,184.23,183.19,
AR,2009,3,184.46,183.73,
AR,2009,4,187.40,187.97,
AR,2010,1,177.86,177.78,
AR,2010,2,183.15,182.06,
AR,2010,3,177.67,177.08,
AR,2010,4,174.57,175.41,
AR,2011,1,177.39,177.04,
AR,2011,2,174.03,172.86,
AR,2011,3,175.55,175.03,
AR,2011,4,177.30,178.49,
AR,2012,1,178.56,177.91,
AR,2012,2,182.95,181.78,
AR,2012,3,181.86,181.24,
AR,2012,4,180.24,181.56,
AR,2013,1,186.10,185.45,
AR,2013,2,186.48,185.31,
AR,2013,3,186.73,185.90,
AR,2013,4,182.87,184.29,
AR,2014,1,186.09,185.46,
AR,2014,2,188.23,187.25,
AR,2014,3,189.11,188.05,
AR,2014,4,190.70,192.02,
AR,2015,1,188.55,188.11,
AR,2015,2,193.55,192.66,
AR,2015,3,196.46,195.26,
AR,2015,4,195.18,196.33,
AR,2016,1,197.08,196.73,
AR,2016,2,198.54,197.83,
AR,2016,3,200.93,199.65,
AR,2016,4,199.92,200.76,
AR,2017,1,203.02,202.95,
AR,2017,2,205.54,204.80,
AR,2017,3,208.71,207.42,
AR,2017,4,210.47,211.07,
AR,2018,1,212.42,212.62,
AR,2018,2,214.01,213.15,
AR,2018,3,216.67,215.43,
AR,2018,4,217.43,217.77,
AR,2019,1,221.21,221.75,
AR,2019,2,225.27,224.17,
AR,2019,3,227.05,225.88,
AR,2019,4,226.63,226.74,
AR,2020,1,228.72,229.60,
AR,2020,2,237.17,235.81,
AR,2020,3,242.95,241.82,
AR,2020,4,250.17,250.06,
AR,2021,1,256.97,258.26,
AR,2021,2,272.43,270.68,
AR,2021,3,284.71,283.49,
AR,2021,4,298.42,298.11,
AZ,1991,1,100.00,100.00,
AZ,1991,2,100.41,100.28,
AZ,1991,3,99.46,99.39,
AZ,1991,4,101.70,101.08,
AZ,1992,1,102.29,102.32,
AZ,1992,2,101.66,101.52,
AZ,1992,3,102.77,102.66,
AZ,1992,4,103.85,103.25,
AZ,1993,1,104.15,104.20,
AZ,1993,2,105.37,105.22,
AZ,1993,3,106.93,106.73,
AZ,1993,4,109.27,108.73,
AZ,1994,1,110.30,110.37,
AZ,1994,2,112.67,112.48,
AZ,1994,3,114.55,114.24,
AZ,1994,4,116.62,116.17,
AZ,1995,1,117.30,117.40,
AZ,1995,2,119.32,119.07,
AZ,1995,3,121.18,120.75,
AZ,1995,4,122.14,121.83,
AZ,1996,1,123.81,123.91,
AZ,1996,2,125.32,124.99,
AZ,1996,3,126.72,126.20,
AZ,1996,4,126.88,126.70,
AZ,1997,1,128.02,128.08,
AZ,1997,2,129.67,129.27,
AZ,1997,3,131.07,130.51,
AZ,1997,4,132.02,131.95,
AZ,1998,1,133.35,133.38,
AZ,1998,2,135.90,135.42,
AZ,1998,3,137.73,137.19,
AZ,1998,4,138.93,138.88,
AZ,1999,1,141.12,141.14,
AZ,1999,2,143.55,142.98,
AZ,1999,3,145.78,145.30,
AZ,1999,4,147.17,147.07,
AZ,2000,1,149.51,149.54,
AZ,2000,2,152.01,151.36,
AZ,2000,3,153.48,153.05,
AZ,2000,4,155.80,155.61,
AZ,2001,1,157.72,157.77,
AZ,2001,2,161.02,160.34,
AZ,2001,3,162.95,162.50,
AZ,2001,4,165.80,165.57,
AZ,2002,1,166.62,166.77,
AZ,2002,2,170.26,169.53,
AZ,2002,3,172.81,172.20,
AZ,2002,4,176.21,176.04,
AZ,2003,1,179.32,179.59,
AZ,2003,2,183.24,182.39,
AZ,2003,3,187.12,186.26,
AZ,2003,4,192.57,192.60,
AZ,2004,1,198.22,198.63,
AZ,2004,2,206.20,205.13,
AZ,2004,3,216.80,215.45,
AZ,2004,4,227.71,228.19,
AZ,2005,1,243.85,244.40,
AZ,2005,2,269.05,267.42,
AZ,2005,3,290.59,288.40,
AZ,2005,4,301.79,303.02,
AZ,2006,1,313.89,314.70,
AZ,2006,2,320.57,318.38,
AZ,2006,3,316.74,313.93,
AZ,2006,4,318.33,320.21,
AZ,2007,1,317.36,318.21,
AZ,2007,2,315.94,313.57,
AZ,2007,3,308.73,305.84,
AZ,2007,4,288.45,290.36,
AZ,2008,1,276.61,277.37,
AZ,2008,2,263.45,261.49,
AZ,2008,3,244.63,242.24,
AZ,2008,4,224.93,226.40,
AZ,2009,1,214.89,215.55,
AZ,2009,2,204.01,202.55,
AZ,2009,3,202.60,200.59,
AZ,2009,4,195.06,196.16,
AZ,2010,1,190.77,191.51,
AZ,2010,2,187.95,186.64,
AZ,2010,3,181.62,179.84,
AZ,2010,4,172.26,173.03,
AZ,2011,1,166.50,167.32,
AZ,2011,2,162.93,161.72,
AZ,2011,3,164.22,162.73,
AZ,2011,4,167.00,167.58,
AZ,2012,1,172.71,173.64,
AZ,2012,2,184.55,183.13,
AZ,2012,3,194.82,193.20,
AZ,2012,4,197.62,198.20,
AZ,2013,1,204.53,205.66,
AZ,2013,2,217.65,215.81,
AZ,2013,3,221.74,220.13,
AZ,2013,4,226.48,227.11,
AZ,2014,1,228.05,229.20,
AZ,2014,2,233.38,231.30,
AZ,2014,3,234.67,233.24,
AZ,2014,4,235.87,236.49,
AZ,2015,1,241.04,242.06,
AZ,2015,2,247.30,245.05,
AZ,2015,3,252.41,251.16,
AZ,2015,4,253.97,254.58,
AZ,2016,1,258.41,259.23,
AZ,2016,2,266.93,264.70,
AZ,2016,3,268.42,267.25,
AZ,2016,4,273.13,273.63,
AZ,2017,1,278.26,278.93,
AZ,2017,2,287.46,285.35,
AZ,2017,3,292.65,291.44,
AZ,2017,4,294.29,294.57,
AZ,2018,1,303.93,304.61,
AZ,2018,2,310.68,308.76,
AZ,2018,3,315.26,313.81,
AZ,2018,4,320.40,320.53,
AZ,2019,1,322.67,323.35,
AZ,2019,2,331.94,330.26,
AZ,2019,3,339.05,337.29,
AZ,2019,4,345.70,345.66,
AZ,2020,1,353.80,354.61,
AZ,2020,2,363.48,361.99,
AZ,2020,3,378.67,376.36,
AZ,2020,4,395.54,395.52,
AZ,2021,1,417.63,418.62,
AZ,2021,2,451.98,450.28,
AZ,2021,3,484.69,481.61,
AZ,2021,4,504.03,503.96,
CA,1991,1,100.00,100.00,
CA,1991,2,99.71,99.10,
CA,1991,3,99.49,98.70,
CA,1991,4,99.63,99.04,
CA,1992,1,99.10,99.09,
CA,1992,2,98.00,97.41,
CA,1992,3,97.74,96.94,
CA,1992,4,95.96,95.43,
CA,1993,1,93.65,93.63,
CA,1993,2,92.98,92.42,
CA,1993,3,91.61,90.79,
CA,1993,4,90.37,89.96,
CA,1994,1,88.91,88.88,
CA,1994,2,88.65,88.10,
CA,1994,3,88.28,87.45,
CA,1994,4,87.02,86.71,
CA,1995,1,86.26,86.22,
CA,1995,2,86.21,85.63,
CA,1995,3,86.40,85.55,
CA,1995,4,85.24,85.03,
CA,1996,1,85.06,85.00,
